Team;Trainer;Zeitraum;Bild-URL;Geschlecht;Persoenlichkeit
Heerashai SV;Kombu;S1 Pre-S1 MD5;https://www.pokewiki.de/images/7/70/VS_Kombu_KAPU.png;männlich;hohe Wellen schlagend,fröhlich,kochend,warmherzig,verplant,auf Wasser-Pokémon spezialisiert,Paldeanisch,in Garrafosa City beheimatet,arenaleitend
Heerashai SV;Valerie;S1 MD6-Current;https://www.pokewiki.de/images/4/4c/VS_Valerie_2_Masters.png;weiblich;aus dem alten Land stammend,maidenhaft,auffällig sprechend,Mode designend,ruhig,künstlerisch,vergesslich,auf Feen-Pokémon spezialisiert,Kalosisch,in Romantia City beheimatet,arenaleitend
Royal Union Pingoléon;Perenus;S1 Pre-Current;https://www.pokewiki.de/images/1/1c/VS_Perenus_2_Masters.png;männlich;kammerdienend,aufmerksam,lösungsorientiert,brillentragend,Sinnohanisch,das Kampfpalais leitend
AC Arboliva;Colzo;S1 Pre-S1 MD7;https://www.pokewiki.de/images/8/8a/VS_Colzo_1_Masters.png;männlich;künstlerisch,talentiert,ästhetisch,auf Pflanzen-Pokémon spezialisiert,Paldeanisch,in Bolardin beheimatet,arenaleitend
AC Arboliva;Hana;S1 MD8-Current;https://www.pokewiki.de/images/1/1a/VS_Hana_%28Variante%29_2_Masters.png;weiblich;eingebildet,Niederlagen hassend,egoistisch,die Blaubeer-Akademie besuchend,Kitakamisch,in Midoriya beheimatet
Toxicroak Rangers;Saturn;S1 Pre-Current;https://www.pokewiki.de/images/5/53/VS_Saturn_Masters.png;männlich;loyal,besonnen,gelassen,Team Galaktik kommandierend,schurkisch,Sinnohanisch
FC Bayern Myriador;Kiawe;S1 Pre-Current;https://www.pokewiki.de/images/2/2f/VS_Kiawe_Masters.png;männlich;tanzend,traditionellen Tanz studierend,aufstrebend,auf Feuer-Pokémon spezialisiert,Alolanisch,in Ohana beheimatet,als Captain fungierend
Einkraft Frankfurt;Géraldine;S1 Pre-Current;https://www.pokewiki.de/images/5/55/VS_G%C3%A9raldine_2_Masters.png;weiblich;die Lüfte meisternd,ein Frachtflugzeug pilotierend,durch die Lüfte segelnd,heiter,mit vielen Fans gesegnet,auf Flug-Pokémon spezialisiert,Einallisch,in Panaero City beheimatet,arenaleitend
Beast Force PC;Achromas;S1 Pre-Current;https://www.pokewiki.de/images/7/7e/VS_Achromas_1_Masters.png;männlich;Wissenschaft betreibend,berechnend,ehemalig Team Plasma anführend,forschend,wahres Potenzial entlockend,schurkisch,brillentragend,auf Stahl-Pokémon spezialisiert,Einallisch
FC ChelZE;Mel;S1 Pre-Current;https://www.pokewiki.de/images/f/f5/VS_Mel_1_Masters.png;weiblich;beinhart,stoisch,strikt,lehrend,kaltblütig,erfahren,streng,auf Eis-Pokémon spezialisiert,Galarisch,in Circhester beheimatet,arenaleitend
